five_tup,flow_pktlen
"['10.208.8.65', '116.163.21.50', 65500, 443, 6]","[32, -32, 20, 537, -20, -20, -2940, 20, -282, 113, 20, -294, -89, 20, -20]"
"['10.208.8.65', '116.163.21.50', 65501, 443, 6]","[32, -32, 20, 537, -20, -2940, 20, -282, 113, 20, -294, 20, -89, -20]"
"['10.208.8.65', '116.163.21.50', 65502, 443, 6]","[32, -32, 20, 537, -20, -2940, -282, 20, 113, 20, -294, -89, 20, -20]"
"['10.208.8.65', '116.163.21.50', 65503, 443, 6]","[32, -32, 20, 537, -20, -2940, 20, -282, 113, 125, 534, 152, 151, 142, 142, 142, 150, 152, 152, -294, -89, 20, -32, -20, -32, -32, -32, -20, -58, -2940, 20, 58, -2940, 20, -1480, 20, -1480, 20, -2940, 20, -2940, 20, -2940, 20, 598, 153, 153, 153, 152, 152, 153, 152, 153, 153, 153, 153, -2940, 20, 153, 153, 153, 153, 153, 152, 153, 153, 153, 153, -2940, 20, -2940, 20, -2940, 20, -2940, 20, -2940, 20, -2940, 20, -2940, 20, -2940, 20, -2940, 20, -2940, 20, -2940, 20, -20, -20, -2940, -20, 20, -1480, 20, -4400, 20, -20, -2940, -20, -20, -5860, 20, -21920, 20, -21920, 20, -17540, 20, -4400, 20, -4400, 20, -4400, 20, -7320, 20, -8780, -4400, 20, -4400, 20, -4400, 20, -4400, 20, -4400, 20, -4400, 20, -4400, 20, -4400, 20, -5860, 20, -1480, -1480, -1480, -1480, -1480, -1480, -1480, -1480, -1480, -1480, -1480, -1480, 20, -8780, 20, -8780, 20, -8780, 20, -8780, 20, -1480, -1480, -1480, -1480, -8780, 20, -8780, 20, -8780, 20, -8780, 20, -8780, 20, -8780, 20, -8780, 20, -2940, 20, -8780, 20, -1480, -11700, 20, -1480, -1480, -1480, 20, -17540, 20, -17540, 20, -23380, 20, -8780, 20, -7320, 20, -1480, 20, -2940, 20, -21920, 20, -5860, 20, -20460, 20, -5860, 20, -4400, 20, -14620, 20, -13160, 20, -21920, 20, -14620, 20, -4400, 20, -21920, 20, -21920, 20, -21920, 20, -21920, 20, -4400, 20, -21920, 20, -1480, -1156, 20, -5860, 20, -2940, 20, -21920, 20, -2940, 20, -2940, -344, -17540, 20, -7320, 20, -21920, 20, -2940, 20, -21920, 20, -21920, 20, -20460, 20, -21920, 20, -16080, 20, -19000, 20, -16080, 20, -16080, 20, -14620, 20, -21920, 20, -16080, 20, -4400, 20, -21920, 20, -16080, 20, -16080, 20, -16080, 20, -4400, 20, -16080, 20, -20460, 20, -14620, 20, -19000, 20, -4400, 20, -16080, 20, -16080, 20, -16080, 20, -17540, 20, -2940, 20, -21920, 20, -2940, 20, -17540, 20, -21920, 20, -4400, 20, -17540, 20, -17540, 20, -21920, 20, -17540, 20, -4400, 20, -21920, 20, -19000, -169, 20]"
"['10.208.8.65', '116.163.21.50', 65504, 443, 6]","[32, -32, 20, 537, -20, -2940, 20, -282, 113, 20, -294, 20, -89, -20]"
"['2001:da8:1002:a000::6:a3cf', '2408:870c:1040:1::d35f:2223', 65505, 443, 6]","[32, -32, 20, 537, -20, -4100, -36, -1380, 20, -703, 20, 100, 118, 478, 91, 97, 97, 91, 91, 91, 91, 91, 97, 89, 91, 98, 97, 97, 97, 97, 90, 91, 91, 92, -20, -594, -82, 20, 51, -20, -51, 56, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -8180, 20, -4100, -20, -20, -20, -20, -20, 20, -4100, 20, -20, -4100, 20, -4100, 20, -4100, 20, -4100, -20, 20, -4100, 20, -4100, 20, -4100, 20, -1380, 20, -1380, -2740, 20, 92, -4100, 20, -4100, 20, -4100, 20, -4100, 20, 56, 90, 91, -5460, 20, 56, 97, 91, -4100, 149, 56, -5460, 56, 56, 90, 97, 97, -5460, 56, 56, -5460, -5460, 56, 56, 56, 56, 56, -9540, -6820, -2740, -4100, -5460, 20, -5460, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, 20, -20, -20, -20, -20, -20, -20, -20, -2740, 20, -4100, -20, -20, -20, 20, -6820, 20, -6820, 20, -6820, 20, -16340, 20, -4100, 20, 142, -17700, 20, -17700, 20, -19060, 20, -16340, 20, -2740, -4100, -1300, 20, -1380, -100, 20, -16340, 20, -12260, 20, -1380, -1300, 20, 149, -9540, -20, 20, -19060, 20, -4100, -100, 20, -9540, 20, -9540, 20, -10900, 20, -10900, 20, -20, -9540, 20, 148, -2740, 20, -10900, 20, -12260, 20, 89, -12260, 20, 90, -9540, -1220, 20, 88, 91, 90, 56, 56, 90, 97, 56, 56, 91, 91, 90, 89, 89, 97, 56, 56, 97, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, -4100, 20, -4100, 20, -1380, 20, -20, -12260, 20, -6820, -180, -4100, 20, -8180, -20, -20, -20, -20, -20, -20, -20, 20, -20, -20, -6820, 20, -4100, 20, -4100, 20, -12260, 20, -12260, 20, -6820, 20, -20420, 20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -20, -14980, 20, -8180, -1140, 20, -19060, 20, 144, -5460, -260, -13620, 20, -20420, 20, -20420, 20, -20420, 20, -4100, 20, -14980, -4100, 20, -12260, 20, -13620, 20, -1380, 20, -17700, 20, -14980, 20, -14980, 20, -6820, 20, -8180, 20, -5460, 20, 99, -14980, -20, -2740, 20, -12260, -6820, 20, -16340, 20, -20420, 20, -19060, 20, -2740, 20, -20420, 20, -10900, 20, -14980, 20, -14980, 20, -12260, 20, -14980, -20, -4100, 20, -20420, 20, -10900, 20, 93, 99, 100, -2740, 20, -5460, 20, -5460, 20, -5460, 20, -5460, 20, -5460, 20, -5460, 20, -5460, 20, -5460, 20, -5460, 20, -1380, 20, -6820, 20, -2740, 20, -5460, 20, -5460, 20, -5460, 20, -4100, 20, -1380, 20, -20420, 20, -20420, 20, -12260, -6820, 20, -4100, 20, -20420, 20, -5460, -20, -20, -20, -10900, 20, -1380, -20420, 20, -10900, -4100, -2740, 20, -17700, 20, -17700, 20, -4100, 20, -4100, 20, -4100, 20, -4100, 20, -1380, 20, -20420, 20, -20420, 20, -4100, 20, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -1380, 20, -1380, -1380, -1380, -1380, -1380, -1380, -1380, -8180, 20, -5460, -241, 20, 94, 99, -20, -20, -581, -547, 20, 94, -20, -581, 94, -20, -581, 94, -20, -581, 94, -20, -581, 94, -20, -581, 20]"
"['10.208.8.65', '13.107.6.158', 65173, 443, 6]","[274, 275, -20, -17540, 20, -4400, 20, 62, -4400, -1480, -1480, -8780, 32, 20, 20, -4400, -1480, -1480, -1480, -1480, -10240, -1480, 32, 20, 32, 20, 32, -1480, -4400, -220, -11700, -1480, -1480, 20, 32, 20, -4400, -486, -58, 20, -20, -1480, -2940, -1480, -7320, -1480, -1480, -5860, 32, 20, 32, 20, 20, -1480, -1480, -5860, 32, 20, 20, -1480, -1480, -1480, -1480, -1480, -14620, 32, 20, 32, 20, 20, -1480, -1480, -10240, -178, -7320, 32, 20, 20, -2940, -1480, -13160, -1480, -1480, -1480, 32, 20, 32, 20, 20, -1480, -1480, -16080, -1480, -1480, 32, 20, 32, 20, -1480, -1480, -10240, -668, -7320, 32, 20, 20, -7320, -1480, -1480, -11700, 32, 20, 20, -7320, -1480, -1480, -7320, 32, 20, 20, -5860, -1480, -1480, -10240, -670, -20, 32, 20, 20, -2940, -2940, -1480, -13160, 32, 20, 20, -1480, -5860, -1480, -1480, -1480, -1480, -1314, 32, 20, 32, 20, 20]"
"['10.208.8.65', '115.231.186.131', 65510, 443, 6]","[32, -32, 20, 537, -20, -114, -1480, -1345, -504, 20, -358, -29, 20, 146, 125, 1472, 25, -20, -20, -26, -65, 20, -104, 58, -283, -136, 20]"
"['10.208.8.65', '220.181.107.131', 65514, 443, 6]","[32, -32, 20, 537, -20, -4400, -848, 20, 113, 1472, 511, -848, 32, -20, -20, -190, -343, 20, -343, 32, 859, -20, -344, 859, -20, -344, 859, -20, -344, 859, -20, -344, 859, -20, -344, 20]"
"['2001:da8:1002:a000::6:a3cf', '2620:1ec:c11::239', 65266, 443, 6]","[21, -32]"
